run,scale,mse
11595,112.749274732,0.692395935541
11601,112.62912552,0.785016906863
11566,100.96186855,0.878462594331
11576,105.127973786,0.931109915378
2105,49.2568107196,0.950541544211
11571,105.049320723,0.954925621739
11573,105.210342346,0.957893140113
11563,105.223866328,0.958206348387
11600,105.223866328,0.958206348387
11599,105.223866328,0.958206348387
11597,105.223866328,0.958206348387
11585,105.223866328,0.958206348387
11574,105.223866328,0.958206348387
11584,105.223866328,0.958206348387
11586,105.223866328,0.958206348387
11579,105.223866328,0.958206348387
11593,105.223866328,0.958206348387
11592,105.223866328,0.958206348387
11591,105.223866328,0.958206348387
11590,105.223866328,0.958206348387
11587,105.223866328,0.958206348387
11578,105.223866328,0.958206348387
11596,105.223866328,0.958206348387
11570,105.229064129,0.961697410171
11581,105.276109733,0.970503510029
11568,106.62335551,0.977924873231
10917,85.6510941207,0.982095483216
11583,105.461699756,0.992828647392
11602,107.365201295,0.995541310104
11567,107.419003551,1.00066045628
11588,103.457385423,1.02847144641
11582,105.0660351,1.03210011711
3921,42.3835458685,1.03522399413
11580,105.870954209,1.04867370386
11598,105.881060947,1.05064247473
11594,104.676958833,1.0784668181
10775,138.45140929,1.09347522051
11572,109.712203367,1.10145156315
7597,39.8257561047,1.1218844949
2110,48.717282263,1.12906189684
12910,83.5654715247,1.15686650648
7922,303.329713524,1.17927041356
2123,47.0273699706,1.18251727398
2095,47.9813687197,1.18790995404
2093,50.6397142261,1.20067370616
2094,48.8109084619,1.20502094956
2111,48.8571842464,1.21244275408
2097,48.8799975004,1.2145853965
2099,48.8823479543,1.21644115405
2119,48.8809668947,1.21645298975
2112,48.8809668947,1.21645298975
2113,48.8809668947,1.21645298975
2114,48.8809668947,1.21645298975
2102,48.8809668947,1.21645298975
2115,48.8809668947,1.21645298975
2118,48.8809668947,1.21645298975
2120,48.8809668947,1.21645298975
2121,48.8809668947,1.21645298975
2106,48.8809668947,1.21645298975
2125,48.8809668947,1.21645298975
2127,48.8809668947,1.21645298975
2128,48.8809668947,1.21645298975
2124,48.8809668947,1.21645298975
2132,48.8809668947,1.21645298975
2107,48.8809668947,1.21645298975
2100,50.3146282508,1.21668430715
2130,48.8407827046,1.21682494603
2098,48.8766527051,1.2245329915
2117,48.8978611387,1.2276561205
2122,48.9416726846,1.22831010713
10043,141.890091607,1.2336933515
7951,373.127478274,1.24210795199
7925,336.47178638,1.25724374752
7933,339.518762065,1.26165596197
10746,120.501215516,1.26409034278
8527,91.1984051694,1.26760440942
7930,335.91011727,1.2711872474
7921,334.085893368,1.27182868683
7945,339.07668534,1.27332799381
7932,334.540912955,1.27481259694
7949,334.527579294,1.27614869007
7935,334.527579294,1.27614869007
7954,334.527579294,1.27614869007
7947,334.527579294,1.27614869007
7924,334.527579294,1.27614869007
7936,334.527579294,1.27614869007
7928,334.527579294,1.27614869007
7950,334.527579294,1.27614869007
7929,334.527579294,1.27614869007
7937,334.527579294,1.27614869007
7940,334.527579294,1.27614869007
7941,334.527579294,1.27614869007
7942,334.527579294,1.27614869007
7934,334.527579294,1.27614869007
7943,334.527579294,1.27614869007
7946,334.527579294,1.27614869007
7919,334.529609779,1.27615599078
5988,57.3797812604,1.28347302437
3271,107.836512919,1.28811654137
7422,68.9187642351,1.29252312653
7920,334.501150432,1.29662287144
7923,338.208118276,1.29707623217
7623,46.1578086288,1.30028766922
10768,129.430026059,1.30382294541
10007,153.59284564,1.30758657285
10752,129.036118218,1.31372477735
10761,129.988968732,1.31543271041
2116,48.9069129065,1.315723532
10019,129.381457701,1.31691514079
10782,129.647619956,1.31991335303
7850,109.242864335,1.32174553297
7953,256.12987836,1.32229272796
7952,340.226480411,1.32361688533
7862,96.5312698518,1.32429764366
10763,130.130087035,1.32592326052
10780,130.138133223,1.32660163695
10754,130.138133223,1.32660163695
10758,130.138133223,1.32660163695
10759,130.138133223,1.32660163695
10766,130.138133223,1.32660163695
10767,130.138133223,1.32660163695
10770,130.138133223,1.32660163695
10764,130.138133223,1.32660163695
10765,130.138133223,1.32660163695
10772,130.138133223,1.32660163695
10773,130.138133223,1.32660163695
10776,130.138133223,1.32660163695
10743,130.138133223,1.32660163695
10777,130.138133223,1.32660163695
10779,130.138133223,1.32660163695
10771,130.138133223,1.32660163695
10750,130.145898778,1.32696695659
10747,130.298672444,1.32931399509
7917,340.632283972,1.33040045835
10751,130.650097152,1.3337297894
7916,340.778862487,1.33506496132
13976,149.34565181,1.33598485232
